Ranking,University,Location,Tuition,Enrollment
#60,Rensselaer Polytechnic Institute,"Troy, NY","$61,884","5,895
 (fall 2022)"
#60,Santa Clara University,"Santa Clara, CA","$59,241","6,115
 (fall 2022)"
#60,"University of California, Merced","Merced, CA","$43,777
 (out-of-state)
$13,000
 (in-state)","8,344
 (fall 2022)"
#67,George Washington University,"Washington, DC","$64,990","11,482
 (fall 2022)"
#67,Syracuse University,"Syracuse, NY","$63,061","15,421
 (fall 2022)"
#67,University of Massachusetts--Amherst,"Amherst, MA","$39,293
 (out-of-state)
$17,357
 (in-state)","24,391
 (fall 2022)"
#67,University of Miami,"Coral Gables, FL","$59,926","12,504
 (fall 2022)"
#67,University of Pittsburgh,"Pittsburgh, PA","$39,890
 (out-of-state)
$21,524
 (in-state)","19,928
 (fall 2022)"
#67,Villanova University,"Villanova, PA","$64,906","6,989
 (fall 2022)"
#73,Binghamton University--SUNY,"Binghamton, NY","$28,203
 (out-of-state)
$10,363
 (in-state)","14,402
 (fall 2022)"
#73,Indiana University--Bloomington,"Bloomington, IN","$40,482
 (out-of-state)
$11,790
 (in-state)","35,660
 (fall 2022)"
#73,Tulane University,"New Orleans, LA","$65,538","7,350
 (fall 2022)"
#76,Colorado School of Mines,"Golden, CO","$42,120
 (out-of-state)
$20,040
 (in-state)","5,733
 (fall 2022)"
#76,Pepperdine University,"Malibu, CA","$66,742","3,662
 (fall 2022)"
#76,Stevens Institute of Technology,"Hoboken, NJ","$60,952","3,988
 (fall 2022)"
#76,University at Buffalo--SUNY,"Buffalo, NY","$30,571
 (out-of-state)
$10,781
 (in-state)","20,761
 (fall 2022)"
#76,"University of California, Riverside","Riverside, CA","$46,266
 (out-of-state)
$13,692
 (in-state)","22,903
 (fall 2022)"
#76,University of Delaware,"Newark, DE","$39,720
 (out-of-state)
$16,080
 (in-state)","18,883
 (fall 2022)"
#82,Rutgers University--Newark,"Newark, NJ","$35,348
 (out-of-state)
$16,586
 (in-state)","7,511
 (fall 2022)"
#82,"University of California, Santa Cruz","Santa Cruz, CA","$47,862
 (out-of-state)
$15,288
 (in-state)","17,502
 (fall 2022)"
#82,University of Illinois--Chicago,"Chicago, IL","$32,833
 (out-of-state)
$17,811
 (in-state)","21,807
 (fall 2022)"
#82,Worcester Polytechnic Institute,"Worcester, MA","$58,870","5,246
 (fall 2022)"
#86,Clemson University,"Clemson, SC","$39,502
 (out-of-state)
$15,558
 (in-state)","22,566
 (fall 2022)"
#86,Marquette University,"Milwaukee, WI","$48,700","7,528
 (fall 2022)"
#86,New Jersey Institute of Technology,"Newark, NJ","$34,972
 (out-of-state)
$18,512
 (in-state)","9,019
 (fall 2022)"
#89,Fordham University,"New York, NY","$61,567","10,098
 (fall 2022)"
#89,Southern Methodist University,"Dallas, TX","$64,460","7,056
 (fall 2022)"
#89,Temple University,"Philadelphia, PA","$35,956
 (out-of-state)
$21,095
 (in-state)","24,106
 (fall 2022)"
#89,University of South Florida,"Tampa, FL","$17,324
 (out-of-state)
$6,410
 (in-state)","38,046
 (fall 2022)"
